dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
us_births/D/short,Toto-2.0-313m,171173.6,171173.6,233.958046875,0.3443842563174973,0.0227068471908569,0.0223334273073976,2.716643475555168,413.73131377743215,0.0387839534306654,0.0219316684344823,0.0176128222732099,Healthcare,1
bizitobs_l2c/H/short,Toto-2.0-313m,55.12078373015873,55.12078373015873,4.40149410187252,0.4260634219814513,0.3607020023629534,0.5936395750199283,2.6396171036776335,7.424337258648662,0.400190834094587,0.2372518292914102,0.1846467842469873,Web/CloudOps,7
bizitobs_l2c/H/medium,Toto-2.0-313m,75.11731770833333,75.11731770833333,4.81407964797247,0.4861855300932076,0.4463570086691746,0.7590671017475764,3.402230735292107,8.66702473218655,0.5248015119884899,0.2914998348518143,0.2332053816237498,Web/CloudOps,7
bizitobs_l2c/H/long,Toto-2.0-313m,85.41147073412698,85.41147073412698,5.326746574280754,0.5662585171016495,0.5909949435086779,0.7930114477168319,4.578596354547671,9.24183265019049,0.564517811845252,0.325373054694426,0.2618661154341325,Web/CloudOps,7
temperature_rain/D/short,Toto-2.0-313m,186.135347535233,186.135347535233,5.880711001096406,1.3644813258745074,27.353096124371824,1.5243048477922472,19.227593612230145,13.643142876010389,1.6061586345400105,0.6923151679554567,0.55979108087467,Nature,1
hospital/M/short,Toto-2.0-313m,2446.509452411995,2446.509452411995,17.27488218437636,0.7525293548792322,0.1912978005274541,0.1720054741471717,5.04564548228644,49.46220226002877,0.1795592800281239,0.0627118338017058,0.0494550463357641,Healthcare,1
jena_weather/D/short,Toto-2.0-313m,482.09007936507936,482.09007936507936,10.87479538690476,1.1796711128917263,0.7727550112858238,0.4881612454182796,7.43276662230529,21.95654980558374,0.1322143161462818,0.065484042258074,0.0527207207459159,Nature,21
bitbrains_rnd/H/short,Toto-2.0-313m,1971783.2387366267,1971783.2387366267,144.07046934273902,5.771423499461875,1.0083277968109632,0.5115643831302016,196.1482331465183,1404.2019935666758,6.1454749735297804,0.6305228648206243,0.5904725217390949,Web/CloudOps,2
electricity/D/short,Toto-2.0-313m,1450538257.730883,1450538257.730883,4404.488324324324,1.4276756803388442,0.2872954898042124,0.0947787000668331,11.52500459194584,38085.93254379999,0.6258783850868971,0.0723803739449452,0.0565593636707745,Energy,1
m_dense/H/short,Toto-2.0-313m,43778.19357638889,43778.19357638889,85.3431640625,0.7565022035556973,0.2738250547286299,0.2048166230006406,8.514246057745058,209.2323913173792,0.3711261605411484,0.1513775214608376,0.1262983887594558,Transport,1
m_dense/H/medium,Toto-2.0-313m,39104.125555555554,39104.125555555554,84.5998828125,0.7256924130150489,0.2579983741877744,0.1957087714556239,7.34931058701168,197.74763097330788,0.344055905527471,0.1471931124803286,0.1226144363858436,Transport,1
m_dense/H/long,Toto-2.0-313m,39591.68592592593,39591.68592592593,88.12137731481481,0.7516926273235909,0.2574863240735007,0.1980295226423254,7.883611505228133,198.976596427635,0.3444579209103366,0.1525511389911415,0.1294522166843895,Transport,1
