dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
sz_taxi/H/short,Toto-2.0-4m,7.351625100160256,7.351625100160256,1.876037858490251,0.5705242068476643,1.0973221216446314,0.2993992310008467,4.057438791880829,2.7113880393924172,0.2525825275407309,0.1747645033374682,0.1377414457680422,Transport,1
us_births/M/short,Toto-2.0-4m,65291253.333333336,65291253.333333336,6938.399739583333,0.7843062670757902,0.0213155522942543,0.0216135603163065,4.308882198029836,8080.300324451644,0.0250973577169551,0.021550622285734,0.0157469635717184,Healthcare,1
ett1/W/short,Toto-2.0-4m,1266565.4285714286,1266565.4285714286,897.2614397321429,1.5590264414596364,0.6516669137137276,0.5368396696200912,8.302126351964935,1125.4178906394854,0.4478306398771139,0.3570417424801937,0.2653673718073158,Energy,7
hospital/M/short,Toto-2.0-4m,3013.328226857888,3013.328226857888,18.241593328987395,0.7641740800926207,0.1940905435455203,0.174239503493727,5.118593625285377,54.89379042166689,0.1992772063466044,0.0662212197406695,0.0525780194451719,Healthcare,1
ett2/W/short,Toto-2.0-4m,3095963.1428571427,3095963.1428571427,1272.456891741071,0.8911313618461197,0.1395550285066877,0.1554014463370174,9.505755041081516,1759.5349223181513,0.1475979770314329,0.1067396052777677,0.0883926446992683,Energy,7
restaurant/D/short,Toto-2.0-4m,154.30909685252638,154.30909685252638,7.611286716633978,0.7259215227569304,0.7328739695336579,0.4125082086968122,5.010207015112153,12.422121270239089,0.5716948026222014,0.3502890498736288,0.2744011414189734,Sales,1
bitbrains_rnd/5T/short,Toto-2.0-4m,1699398.3496668984,1699398.3496668984,119.56094959410454,1.6380617092334606,0.8898710058237806,0.6471784964465388,51.90545108410294,1303.6097382525563,5.333994712771007,0.4892088899578946,0.3880830500770236,Web/CloudOps,2
bitbrains_rnd/5T/medium,Toto-2.0-4m,2271415.682455946,2271415.682455946,142.8699140676185,4.371816199996676,0.3123009476265272,0.7122849699717149,160.4321622174934,1507.1216548294788,6.341229189799774,0.6011265689976916,0.5886813641310066,Web/CloudOps,2
bitbrains_rnd/5T/long,Toto-2.0-4m,2481400.494486771,2481400.494486771,171.3600117102691,3.302891971365009,1.3469087009294611,0.6922370598006593,115.43849990056296,1575.246169488049,6.034413242769785,0.6564416051122344,0.5995261673435592,Web/CloudOps,2
electricity/H/short,Toto-2.0-4m,2044656.9724549549,2044656.9724549549,201.75981841216216,1.1021495900685625,0.186465394797706,0.1455326636666115,12.628877282405718,1429.915022809032,0.6750220096842224,0.0952450431848426,0.0793594038580375,Energy,1
electricity/H/medium,Toto-2.0-4m,7836178.8893693695,7836178.8893693695,278.7592412725225,1.1781966033813591,0.215370780463516,0.1428298005608257,10.22157461501621,2799.317575654711,1.092665851226018,0.1088089133941587,0.0885674947588125,Energy,1
electricity/H/long,Toto-2.0-4m,11839286.490330333,11839286.490330333,320.28616666666665,1.3277032874451506,0.3046705443090684,0.1568434528292211,11.390849631706764,3440.8264254870996,1.3570609437934416,0.1263207711964486,0.1021070843054533,Energy,1
ett1/H/short,Toto-2.0-4m,105.23216145833334,105.23216145833334,5.050375511532738,0.8485934150075206,0.5137842814127604,0.260320537250805,7.097800794617462,10.258272830176304,0.4787955613167442,0.2357216870652384,0.1868568820222055,Energy,7
ett1/H/medium,Toto-2.0-4m,151.95831473214287,151.95831473214287,7.239003208705357,1.291772641122728,1519966043424.8596,0.4510652202562596,8.749458468236826,12.327137329167014,0.5904406566911288,0.3467310937004059,0.2669975198721324,Energy,7
ett1/H/long,Toto-2.0-4m,153.37647156084657,153.37647156084657,7.40474537037037,1.3951608235238837,3621648576827.077,0.4965872385088697,9.10481749006054,12.384525487916225,0.5930681025963379,0.3545972182220018,0.2735308567043293,Energy,7
loop_seattle/D/short,Toto-2.0-4m,18.984090396026833,18.984090396026833,3.047936419633643,0.918313948238332,0.0563828908253011,0.0562233988430933,7.565573178562968,4.357073604614321,0.0778667303789592,0.0544706986699692,0.0440813489746746,Transport,1
solar/H/short,Toto-2.0-4m,695.8540426110898,695.8540426110898,11.180163760239587,0.8639617957183174,3.972341634446609,1.411105782547283,7.345197539229428,26.37904552122934,0.972340391268539,0.4121045545915978,0.3357620252412994,Energy,1
solar/H/medium,Toto-2.0-4m,793.2563260340632,793.2563260340632,11.663087363138686,0.8928953624573449,4.304576349525132,1.403894351661347,6.401052309597475,28.16480651511853,1.0145620676546896,0.4201316285993832,0.3458138126591955,Energy,1
solar/H/long,Toto-2.0-4m,729.832603406326,729.832603406326,11.895413878751016,0.9058189278684972,4.292683980546572,1.4072083218872535,7.344463050062841,27.015414181654258,0.9366736438712354,0.4124356779520566,0.3404422667080551,Energy,1
bitbrains_rnd/H/short,Toto-2.0-4m,1780065.2417203018,1780065.2417203018,140.7469362385981,5.824947437865841,0.955368520496034,0.5461259624005332,199.55925989178633,1334.1908565570002,5.839071982840039,0.6159774578145303,0.5910310171206864,Web/CloudOps,2
kdd_cup_2018/H/short,Toto-2.0-4m,4469.209471111442,4469.209471111442,22.954322587793396,0.9567450960698056,0.9002775426651913,0.5013684859316623,7.606364663745702,66.85214634633239,1.399336489873266,0.4804755412192331,0.3851725295934668,Nature,1
kdd_cup_2018/H/medium,Toto-2.0-4m,5173.9154691017275,5173.9154691017275,25.48313620591681,1.0507984594637816,0.924335191160876,0.5641767796151949,8.627322875844577,71.92993444388593,1.505623786126005,0.5334081883064811,0.4247876042286329,Nature,1
kdd_cup_2018/H/long,Toto-2.0-4m,4182.6496080407305,4182.6496080407305,24.290536329468424,1.021522572836458,0.9978497312128248,0.6100815438549593,7.558592490834768,64.67340727100073,1.5174994403900808,0.5699541255385738,0.4479363631817635,Nature,1
jena_weather/D/short,Toto-2.0-4m,432.78690476190474,432.78690476190474,10.312312437996033,1.0794272115615466,0.7129202647459285,0.4695982735163291,7.073840100382805,20.803531064747272,0.1252712588046966,0.0620969755698916,0.0508338504769357,Nature,21
solar/10T/short,Toto-2.0-4m,20.772316116370135,20.772316116370135,2.1619565346525245,0.9501720990705068,4.016641489049444,1.549514427321094,5.8109836134417785,4.557665643327748,1.325824442079507,0.6289129218050676,0.4898413693395757,Energy,1
solar/10T/medium,Toto-2.0-4m,19.726644409422693,19.726644409422693,1.9788397201946473,0.866511292134335,3.2575900672303337,1.4680482366642902,6.424066848742292,4.441468722103387,0.9855795480042426,0.4391123925507819,0.3470497654827555,Energy,1
solar/10T/long,Toto-2.0-4m,20.459414284266018,20.459414284266018,1.9924511243537104,0.8724684342770126,2.8197459353722585,1.476176719770531,7.015611454087875,4.52320840601735,0.977619135661409,0.4306364357315455,0.3463359304812876,Energy,1
ett2/15T/short,Toto-2.0-4m,7.622107514880953,7.622107514880953,1.7660952613467262,0.7543729338329245,0.1077232406855492,0.1275776405806886,5.000513787828798,2.7608164580212415,0.1310657787450277,0.0838428248621122,0.0662041453862805,Energy,7
ett2/15T/medium,Toto-2.0-4m,11.393069196428572,11.393069196428572,2.1293625992063494,0.8791716447910171,0.1331762286435135,0.1611135934850441,6.448051134613991,3.375362083751693,0.1798791434040858,0.1134775798382503,0.0896786402557707,Energy,7
ett2/15T/long,Toto-2.0-4m,11.863024553571428,11.863024553571428,2.220953156001984,0.91750689486791,0.1410337494363298,0.1719912763169031,6.6791457739010225,3.4442741693383567,0.1835515929422226,0.118358606078253,0.0931473783476151,Energy,7
bitbrains_fast_storage/5T/short,Toto-2.0-4m,1667311.202364136,1667311.202364136,148.5938886701573,0.6610802422203751,1.703633922686447,0.7278446376117532,13.06401912010597,1291.2440522086197,4.054186990734234,0.4665480621720856,0.3713402193954194,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Toto-2.0-4m,3639249.5659912857,3639249.5659912857,289.23486288501664,0.9689873738946466,4.213606313302829,0.8049994754265085,20.807831429214865,1907.681725548391,5.796063954283303,0.8787753956221425,0.5938653910173444,Web/CloudOps,2
bitbrains_fast_storage/5T/long,Toto-2.0-4m,3485233.910060817,3485233.910060817,318.0748802430266,0.8695484932447687,4.070364976757823,0.8206639496083538,15.68608136759766,1866.8781186946344,4.933601482232043,0.8405769422832146,0.6181720087467169,Web/CloudOps,2
temperature_rain/D/short,Toto-2.0-4m,184.5809994741823,184.5809994741823,5.877166361403554,1.3620227742735915,30.74313255149191,1.511672772536639,19.688894746665973,13.586059011876191,1.5994383544619308,0.6918978701450659,0.5623579070759575,Nature,1
electricity/D/short,Toto-2.0-4m,1621516610.6614776,1621516610.6614776,4675.285945945946,1.4983485076324274,0.5450851922100122,0.1000330995182613,11.881941135993236,40268.059435009745,0.6617379784723132,0.0768304784004682,0.060234457378853,Energy,1
us_births/W/short,Toto-2.0-4m,3282575.4285714286,3282575.4285714286,1368.111607142857,1.2436674457501504,0.0183672159910202,0.0184837281431695,7.747741528937246,1811.7879093788624,0.0245948432159951,0.0185719809175664,0.0146607718235739,Healthcare,1
m4_hourly/H/short,Toto-2.0-4m,875373.6553945249,875373.6553945249,237.9333232689211,1.0617493282647568,0.1228029063742325,0.1069844260634901,8.743767051185472,935.6140525849988,0.1277319697222807,0.0324831504611742,0.0265753520603519,Econ/Fin,1
saugeen/W/short,Toto-2.0-4m,952.84697265625,952.84697265625,15.006619262695311,1.2175840110998806,0.3943230628967285,0.3935738337185405,10.973291695155968,30.86821946041349,0.9317828721188868,0.4529872808284595,0.3657262890545482,Nature,1
