dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ett2/H/long,VISIT-2.0,324.9101521,324.9101521,11.6364914,1.303951976,0.218485578,0.233312262,9.548120741,18.02526427,0.246842121,0.159352794,0.128030721,Energy,7
ett2/H/medium,VISIT-2.0,303.3869234,303.3869234,11.13073033,1.231080777,0.200282842,0.21337709,9.455584894,17.41800572,0.234718814,0.14999374,0.121248169,Energy,7
jena_weather/10T/long,VISIT-2.0,1474.575265,1474.575265,9.856021619,0.625152607,0.78816786,0.635733856,5.531998071,38.40019876,0.234977401,0.060310686,0.048903948,Nature,21
jena_weather/10T/medium,VISIT-2.0,1476.087157,1476.087157,9.648449901,0.589330656,0.789112729,0.642571502,5.277176758,38.41987971,0.235782119,0.059212366,0.047765666,Nature,21
jena_weather/H/long,VISIT-2.0,1248.661111,1248.661111,10.77769304,0.807810429,2.106833105,0.635306739,5.88656309,35.33639924,0.212764295,0.064893659,0.051919792,Nature,21
jena_weather/H/medium,VISIT-2.0,1172.292857,1172.292857,9.797594246,0.719607528,2.279962775,0.656355891,6.100200774,34.23876249,0.209513044,0.059953212,0.04881031,Nature,21
kdd_cup_2018/H/long,VISIT-2.0,3912.475038,3912.475038,23.78613613,1.009553205,1.108081287,0.603401274,7.357601025,62.54978048,1.467670607,0.558118871,0.437671192,Nature,1
kdd_cup_2018/H/medium,VISIT-2.0,5054.371446,5054.371446,24.70153098,1.027458498,0.953322835,0.550806978,8.186562663,71.09410275,1.488128328,0.51704778,0.41346095,Nature,1
loop_seattle/5T/long,VISIT-2.0,79.13731854,79.13731854,4.91150248,0.778204134,0.144545151,0.112103288,6.560252001,8.895915835,0.157281611,0.086836368,0.069739928,Transport,1
loop_seattle/5T/medium,VISIT-2.0,66.62810259,66.62810259,4.576311123,0.728385882,0.139309205,0.105042083,5.731040381,8.16260391,0.145229493,0.081421976,0.065010402,Transport,1
loop_seattle/H/long,VISIT-2.0,64.05118679,64.05118679,4.269007729,0.893444375,0.125432323,0.099195906,8.29259022,8.003198535,0.143027873,0.076292884,0.062456167,Transport,1
loop_seattle/H/medium,VISIT-2.0,71.09725232,71.09725232,4.527218379,0.930484467,0.12036861,0.103710062,8.633255953,8.431918662,0.149033202,0.080018069,0.065795935,Transport,1
m_dense/H/long,VISIT-2.0,31871.51802,31871.51802,77.74949074,0.671950716,0.268340774,0.190216501,6.727057961,178.525959,0.309054826,0.134595862,0.110021993,Transport,1
m_dense/H/medium,VISIT-2.0,36454.48,36454.48,79.83833333,0.686144347,0.276276071,0.19221283,7.274382883,190.9305633,0.332195059,0.138908613,0.113831647,Transport,1
solar/10T/long,VISIT-2.0,22.90564117,22.90564117,1.945484131,0.85251739,3.532001686,1.456642233,4.135274439,4.785983825,1.034413732,0.420485228,0.32251451,Energy,1
solar/10T/medium,VISIT-2.0,22.22318901,22.22318901,1.91656428,0.837631181,3.515629539,1.455587208,3.992156454,4.71414775,1.046088067,0.425293209,0.323926995,Energy,1
solar/H/long,VISIT-2.0,848.635442,848.635442,12.33933876,0.940254111,7.055269768,1.403666109,5.345855532,29.1313481,1.010036929,0.427827363,0.338465071,Energy,1
solar/H/medium,VISIT-2.0,837.2324209,837.2324209,12.391526,0.947273899,5.527838062,1.408793102,5.255163251,28.93496883,1.042305112,0.446371689,0.349028309,Energy,1
sz_taxi/15T/long,VISIT-2.0,16.0462618,16.0462618,2.730938112,0.516894791,5.81904E+12,0.400448113,3.518232106,4.005778551,0.370767727,0.252770767,0.19825856,Transport,1
sz_taxi/15T/medium,VISIT-2.0,16.70381778,16.70381778,2.78427004,0.544189862,8.63547E+12,0.408640674,3.697638634,4.087030435,0.380366401,0.259122801,0.203291215,Transport,1
